Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,AgeGroup,IncomeGroup,TenureGroup,OverTimeRisk,PromotionStatus,CareerStage,IncomePerWorkingYear,RoleTenureRatio
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,26-35,Lower-Mid,6-10 years,High Risk,No promotion >=5 years,Experienced,356.27272727272725,0.18181818181818182
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0,36-45,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,620.4545454545455,0.7
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0,36-45,Upper-Mid,>10 years,Lower Risk,No promotion >=5 years,Experienced,409.92,0.2608695652173913
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0,46-55,High,2-3 years,Lower Risk,Recent promotion <5 years,Experienced,823.7826086956521,0.6666666666666666
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Experienced,312.0,0.5
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0,36-45,Mid,4-5 years,High Risk,Recent promotion <5 years,Experienced,646.5,0.4
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0,26-35,Low,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,200.54545454545453,0.0
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,1,36-45,Low,0-1 years,Lower Risk,Recent promotion <5 years,Experienced,104.3,0.0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1,<=25,Low,2-3 years,High Risk,Recent promotion <5 years,Experienced,327.57142857142856,0.0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0,36-45,Low,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,377.85714285714283,0.5
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1,46-55,Low,2-3 years,High Risk,Recent promotion <5 years,Early Career,670.75,0.5
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0,26-35,Low,2-3 years,Lower Risk,Recent promotion <5 years,Early Career,671.3333333333334,0.6666666666666666
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0,36-45,Lower-Mid,0-1 years,High Risk,Recent promotion <5 years,Experienced,488.42857142857144,0.5
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0,26-35,Lower-Mid,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,488.72727272727275,0.5
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,975.5,0.0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,1170.5,0.0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,1146.5,0.0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0,26-35,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,872.6,0.8
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0,26-35,Lower-Mid,>10 years,Lower Risk,Recent promotion <5 years,Experienced,308.53846153846155,0.6153846153846154
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1,36-45,High,>10 years,Lower Risk,No promotion >=5 years,Experienced,814.375,0.6521739130434783
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0,26-35,Lower-Mid,6-10 years,Lower Risk,No promotion >=5 years,Experienced,415.27272727272725,0.5
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0,36-45,Lower-Mid,0-1 years,Lower Risk,Recent promotion <5 years,Experienced,335.77777777777777,0.0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0,46-55,Lower-Mid,6-10 years,High Risk,Recent promotion <5 years,Experienced,384.8,0.6
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,1134.5,0.0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1,46-55,Lower-Mid,0-1 years,High Risk,Recent promotion <5 years,Experienced,224.20833333333334,0.0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1,26-35,Lower-Mid,2-3 years,High Risk,Recent promotion <5 years,Early Career,1147.0,0.6666666666666666
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,36-45,Lower-Mid,4-5 years,High Risk,Recent promotion <5 years,Experienced,545.4,0.6
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0,26-35,Mid,4-5 years,High Risk,Recent promotion <5 years,Experienced,898.5454545454545,0.0
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0,26-35,Lower-Mid,2-3 years,High Risk,Recent promotion <5 years,Early Career,692.8333333333334,0.6666666666666666
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0,26-35,Upper-Mid,>10 years,High Risk,No promotion >=5 years,Experienced,841.125,0.875
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0,26-35,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,906.9,0.8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0,26-35,Lower-Mid,2-3 years,High Risk,Recent promotion <5 years,Early Career,802.8,0.6666666666666666
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0,26-35,Lower-Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,537.7272727272727,0.875
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0,36-45,Lower-Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,749.125,0.625
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0,26-35,Mid,6-10 years,High Risk,No promotion >=5 years,Experienced,616.2,0.8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0,36-45,Low,6-10 years,Lower Risk,No promotion >=5 years,Experienced,218.72727272727272,0.2727272727272727
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0,46-55,High,>10 years,High Risk,No promotion >=5 years,Experienced,624.6666666666666,0.10714285714285714
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0,>55,Mid,>10 years,Lower Risk,No promotion >=5 years,Experienced,263.3448275862069,0.7272727272727273
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0,36-45,Upper-Mid,>10 years,Lower Risk,No promotion >=5 years,Experienced,560.8888888888889,0.7777777777777778
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0,46-55,Upper-Mid,4-5 years,High Risk,Recent promotion <5 years,Experienced,670.7272727272727,0.0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0,36-45,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,928.4285714285714,0.7142857142857143
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0,36-45,Mid,0-1 years,Lower Risk,Recent promotion <5 years,Experienced,374.0,0.0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0,26-35,Low,2-3 years,Lower Risk,Recent promotion <5 years,Early Career,365.6666666666667,0.5
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,36-45,Lower-Mid,0-1 years,High Risk,Recent promotion <5 years,Early Career,1129.3333333333333,0.0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0,>55,Lower-Mid,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,260.6190476190476,0.6
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0,26-35,Low,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,386.14285714285717,0.6666666666666666
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0,26-35,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,1250.5,0.5
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0,26-35,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,565.4545454545455,0.36363636363636365
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0,36-45,Lower-Mid,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,506.3333333333333,0.0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0,26-35,Lower-Mid,>10 years,Lower Risk,Recent promotion <5 years,Experienced,368.6666666666667,0.5833333333333334
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0,26-35,Lower-Mid,>10 years,Lower Risk,Recent promotion <5 years,Experienced,253.64705882352942,0.8125
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0,36-45,Upper-Mid,0-1 years,High Risk,Recent promotion <5 years,Experienced,735.8333333333334,0.0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0,36-45,Upper-Mid,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,803.7647058823529,0.3333333333333333
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0,46-55,Lower-Mid,4-5 years,High Risk,Recent promotion <5 years,Experienced,295.3529411764706,0.4
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0,26-35,Lower-Mid,6-10 years,High Risk,Recent promotion <5 years,Experienced,466.0,0.7272727272727273
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0,26-35,Low,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,408.42857142857144,0.5714285714285714
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0,46-55,Upper-Mid,0-1 years,Lower Risk,Recent promotion <5 years,Experienced,409.56,0.0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0,36-45,Lower-Mid,>10 years,High Risk,Recent promotion <5 years,Experienced,296.05555555555554,0.7857142857142857
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0,26-35,Lower-Mid,4-5 years,Lower Risk,Recent promotion <5 years,Early Career,720.8333333333334,0.3333333333333333
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0,>55,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,191.05263157894737,0.5714285714285714
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0,<=25,Low,0-1 years,Lower Risk,Recent promotion <5 years,Early Career,580.5,0.0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0,46-55,Low,4-5 years,Lower Risk,Recent promotion <5 years,Experienced,188.63636363636363,0.4
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0,26-35,Lower-Mid,>10 years,Lower Risk,No promotion >=5 years,Experienced,346.0,0.8333333333333334
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1,46-55,Mid,6-10 years,Lower Risk,Recent promotion <5 years,Experienced,961.9,0.8
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,0,36-45,Upper-Mid,>10 years,Lower Risk,No promotion >=5 years,Experienced,587.0869565217391,0.13043478260869565
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,0,46-55,Lower-Mid,6-10 years,High Risk,Recent promotion <5 years,Experienced,453.4166666666667,0.6363636363636364
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,0,26-35,Lower-Mid,>10 years,High Risk,Recent promotion <5 years,Experienced,434.0833333333333,0.6666666666666666
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,0,46-55,Upper-Mid,6-10 years,High Risk,No promotion >=5 years,Experienced,485.1363636363636,0.8181818181818182
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,0,26-35,Lower-Mid,>10 years,Lower Risk,No promotion >=5 years,Experienced,385.38461538461536,0.6666666666666666
